"";"ID";"spec";"col";"tank";"tp";"treat";"conc";"necro_occured";"treatment";"necro_per"
"178";"Pve_C_9";"Pve";"C";"9";1;"10";10;"no";"C";0
"179";"Pve_C_9";"Pve";"C";"9";2;"10";10;"no";"C";0
"180";"Pve_C_9";"Pve";"C";"9";3;"10";10;"no";"C";0
"181";"Pve_D_1";"Pve";"D";"1";0;"control";0;"no";"control";0
"182";"Pve_D_1";"Pve";"D";"1";1;"control";0;"no";"control";0
"183";"Pve_D_1";"Pve";"D";"1";2;"control";0;"no";"control";0
"184";"Pve_D_1";"Pve";"D";"1";3;"control";0;"no";"control";0
"185";"Pve_D_10";"Pve";"D";"10";0;"100";100;"no";"D";0
"186";"Pve_D_10";"Pve";"D";"10";1;"100";100;"no";"D";0
"187";"Pve_D_10";"Pve";"D";"10";2;"100";100;"no";"D";0
"188";"Pve_D_10";"Pve";"D";"10";3;"100";100;"no";"D";0
"189";"Pve_D_11";"Pve";"D";"11";0;"control";0;"no";"control";0
"190";"Pve_D_11";"Pve";"D";"11";1;"control";0;"no";"control";0
"191";"Pve_D_11";"Pve";"D";"11";2;"control";0;"no";"control";0
"192";"Pve_D_11";"Pve";"D";"11";3;"control";0;"no";"control";0
"193";"Pve_D_12";"Pve";"D";"12";0;"0.1";0,1;"no";"A";0
"194";"Pve_D_12";"Pve";"D";"12";1;"0.1";0,1;"no";"A";0
"195";"Pve_D_12";"Pve";"D";"12";2;"0.1";0,1;"no";"A";0
"196";"Pve_D_12";"Pve";"D";"12";3;"0.1";0,1;"no";"A";0
"197";"Pve_D_13";"Pve";"D";"13";0;"1";1;"no";"B";0
"198";"Pve_D_13";"Pve";"D";"13";1;"1";1;"no";"B";0
"199";"Pve_D_13";"Pve";"D";"13";2;"1";1;"no";"B";0
"200";"Pve_D_13";"Pve";"D";"13";3;"1";1;"no";"B";0
"201";"Pve_D_14";"Pve";"D";"14";0;"10";10;"no";"C";0
"202";"Pve_D_14";"Pve";"D";"14";1;"10";10;"no";"C";0
"203";"Pve_D_14";"Pve";"D";"14";2;"10";10;"no";"C";0
"204";"Pve_D_14";"Pve";"D";"14";3;"10";10;"no";"C";0
"205";"Pve_D_15";"Pve";"D";"15";0;"100";100;"no";"D";0
"206";"Pve_D_15";"Pve";"D";"15";1;"100";100;"no";"D";0
"207";"Pve_D_15";"Pve";"D";"15";2;"100";100;"no";"D";0
"208";"Pve_D_15";"Pve";"D";"15";3;"100";100;"no";"D";0
"209";"Pve_D_2";"Pve";"D";"2";0;"0.1";0,1;"no";"A";0
"210";"Pve_D_2";"Pve";"D";"2";1;"0.1";0,1;"no";"A";0
"211";"Pve_D_2";"Pve";"D";"2";2;"0.1";0,1;"no";"A";0
"212";"Pve_D_2";"Pve";"D";"2";3;"0.1";0,1;"no";"A";0
"213";"Pve_D_3";"Pve";"D";"3";0;"1";1;"no";"B";0
"214";"Pve_D_3";"Pve";"D";"3";1;"1";1;"no";"B";0
"215";"Pve_D_3";"Pve";"D";"3";2;"1";1;"no";"B";0
"216";"Pve_D_3";"Pve";"D";"3";3;"1";1;"no";"B";0
"217";"Pve_D_4";"Pve";"D";"4";0;"10";10;"no";"C";0
