"ID_time";"alpha";"beta";"rETRmax";"Ek";"ps"
"113";"Pve_B_8_t0";0.525947847361969;0;123.133885204051;234.118051479175;123.133885204051
"114";"Pve_B_8_t1";0.557403589167958;0;143.218169510796;256.938010974381;143.218169510796
"115";"Pve_B_8_t2";0.614586884186945;0.00208341491209961;130.651778536603;212.584716495286;133.648029775289
"116";"Pve_B_8_t3";0.648540566618385;0;212.73057949315;328.014299247877;212.73057949315
"117";"Pve_B_9_t0";0.484708670379372;0.00599563467382702;85.9815456031097;177.388090738739;91.9193856992934
"118";"Pve_B_9_t1";0.547519866214118;0.00417628538430207;82.4230255024135;150.538876465499;86.2037512257023
"119";"Pve_B_9_t2";0.505763147598494;0.00327269144568301;83.1927437425798;164.489532575876;86.5106555907004
"120";"Pve_B_9_t3";0.633848012328393;0;179.239852266287;282.780491190409;179.239852266287
"121";"Pve_C_1_t0";0.645703254264511;0;236.861590670868;366.827314414987;236.861590670868
"122";"Pve_C_1_t1";0.636982329483388;0.00114277123986678;192.382200176578;302.021251252929;194.926758168412
"123";"Pve_C_1_t2";0.433575963420998;0.00398561313412271;75.5551570286911;174.260483520688;79.6151347800654
"124";"Pve_C_1_t3";0.550479391613958;0.00359425301827024;110.114365367769;200.033583536929;114.539762756077
"125";"Pve_C_10_t0";0.533481884561847;0.00460965343926879;167.354953183249;313.703160362604;175.888316964236
"126";"Pve_C_10_t1";0.636073931520324;0;221.634023079791;348.440664043641;221.634023079791
"127";"Pve_C_10_t2";0.596286602280005;0.00377713219539085;129.707449388893;217.525345853712;134.787475290245
"128";"Pve_C_10_t3";0.532798200606903;0.00464727733099074;95.5291722517217;179.297099995656;100.439182134107
"129";"Pve_C_11_t0";0.56925207038563;0;214.051113894118;376.021669537562;214.051113894118
"130";"Pve_C_11_t1";0.616943119697606;0.000243913653359824;218.794136126828;354.642314892934;219.559797979936
"131";"Pve_C_11_t2";0.643968953655524;0;248.098771015155;385.265111938718;248.098771015155
"132";"Pve_C_11_t3";0.491229689889504;0.00382683574090051;94.9463739400784;193.283052499199;99.3802938522786
"133";"Pve_C_12_t0";0.645810073927723;0;210.140890361215;325.391161960619;210.140890361215
"134";"Pve_C_12_t1";0.629863480117795;0.00226466610148454;211.13228431586;335.203247974267;216.225640579254
"135";"Pve_C_12_t2";0.641795969419014;0.00910710889234951;193.544001880874;301.566247067709;208.54957699923
"136";"Pve_C_12_t3";0.621562042413854;0.00083724774715994;201.802284214045;324.669575108448;203.881690094195
