conc;tank;volume;measurement;date;days;polymer;count
10;14;100;1;07.05.2021;8;PET;4
10;14;100;2;07.05.2021;8;PET;0
10;14;100;3;07.05.2021;8;PET;0
10;14;100;1;07.05.2021;8;PE;0
10;14;100;2;07.05.2021;8;PE;1
10;14;100;3;07.05.2021;8;PE;1
10;14;100;1;07.05.2021;8;PVC;0
10;14;100;2;07.05.2021;8;PVC;0
10;14;100;3;07.05.2021;8;PVC;1
10;14;100;1;07.05.2021;8;PS;0
10;14;100;2;07.05.2021;8;PS;0
10;14;100;3;07.05.2021;8;PS;0
100;5;50;1;07.05.2021;8;PA;2
100;5;50;2;07.05.2021;8;PA;0
100;5;50;3;07.05.2021;8;PA;0
100;5;50;1;07.05.2021;8;PP;82
100;5;50;2;07.05.2021;8;PP;34
100;5;50;3;07.05.2021;8;PP;38
100;5;50;1;07.05.2021;8;PET;200
100;5;50;2;07.05.2021;8;PET;50
100;5;50;3;07.05.2021;8;PET;20
100;5;50;1;07.05.2021;8;PE;23
100;5;50;2;07.05.2021;8;PE;18
100;5;50;3;07.05.2021;8;PE;19
100;5;50;1;07.05.2021;8;PVC;0
100;5;50;2;07.05.2021;8;PVC;0
100;5;50;3;07.05.2021;8;PVC;0
100;5;50;1;07.05.2021;8;PS;6
100;5;50;2;07.05.2021;8;PS;2
100;5;50;3;07.05.2021;8;PS;4
100;10;50;1;07.05.2021;8;PA;8
100;10;50;2;07.05.2021;8;PA;9
100;10;50;3;07.05.2021;8;PA;6
100;10;50;1;07.05.2021;8;PP;163
100;10;50;2;07.05.2021;8;PP;164
100;10;50;3;07.05.2021;8;PP;149
100;10;50;1;07.05.2021;8;PET;150
100;10;50;2;07.05.2021;8;PET;150
100;10;50;3;07.05.2021;8;PET;200
100;10;50;1;07.05.2021;8;PE;43
100;10;50;2;07.05.2021;8;PE;73
100;10;50;3;07.05.2021;8;PE;42
100;10;50;1;07.05.2021;8;PVC;12
100;10;50;2;07.05.2021;8;PVC;3
100;10;50;3;07.05.2021;8;PVC;12
100;10;50;1;07.05.2021;8;PS;26
100;10;50;2;07.05.2021;8;PS;24
100;10;50;3;07.05.2021;8;PS;42
100;15;50;1;07.05.2021;8;PA;1
100;15;50;2;07.05.2021;8;PA;1
100;15;50;3;07.05.2021;8;PA;1
100;15;50;1;07.05.2021;8;PP;84
100;15;50;2;07.05.2021;8;PP;34
100;15;50;3;07.05.2021;8;PP;23
100;15;50;1;07.05.2021;8;PET;200
100;15;50;2;07.05.2021;8;PET;100
100;15;50;3;07.05.2021;8;PET;100
100;15;50;1;07.05.2021;8;PE;24
100;15;50;2;07.05.2021;8;PE;22
100;15;50;3;07.05.2021;8;PE;16
100;15;50;1;07.05.2021;8;PVC;4
100;15;50;2;07.05.2021;8;PVC;1
100;15;50;3;07.05.2021;8;PVC;3
100;15;50;1;07.05.2021;8;PS;19
100;15;50;2;07.05.2021;8;PS;13
100;15;50;3;07.05.2021;8;PS;15
0;1;50;1;11.05.2021;8;PA;0
0;1;50;2;11.05.2021;8;PA;0
0;1;50;3;11.05.2021;8;PA;0
0;1;50;1;11.05.2021;8;PP;0
0;1;50;2;11.05.2021;8;PP;0
0;1;50;3;11.05.2021;8;PP;0
0;1;50;1;11.05.2021;8;PET;0
0;1;50;2;11.05.2021;8;PET;0
0;1;50;3;11.05.2021;8;PET;0
0;1;50;1;11.05.2021;8;PE;0
0;1;50;2;11.05.2021;8;PE;0
0;1;50;3;11.05.2021;8;PE;0
0;1;50;1;11.05.2021;8;PVC;0
0;1;50;2;11.05.2021;8;PVC;0
0;1;50;3;11.05.2021;8;PVC;0
0;1;50;1;11.05.2021;8;PS;0
0;1;50;2;11.05.2021;8;PS;0
0;1;50;3;11.05.2021;8;PS;0
0;6;50;1;11.05.2021;8;PA;0
0;6;50;2;11.05.2021;8;PA;0
0;6;50;3;11.05.2021;8;PA;0
0;6;50;1;11.05.2021;8;PP;0
0;6;50;2;11.05.2021;8;PP;0
0;6;50;3;11.05.2021;8;PP;0
0;6;50;1;11.05.2021;8;PET;0
0;6;50;2;11.05.2021;8;PET;0
0;6;50;3;11.05.2021;8;PET;0
0;6;50;1;11.05.2021;8;PE;0
0;6;50;2;11.05.2021;8;PE;0
0;6;50;3;11.05.2021;8;PE;0
0;6;50;1;11.05.2021;8;PVC;0
0;6;50;2;11.05.2021;8;PVC;0
0;6;50;3;11.05.2021;8;PVC;0
0;6;50;1;11.05.2021;8;PS;0
0;6;50;2;11.05.2021;8;PS;0
