Fragment;Spec;Colony;tank;treatment;t0;t1;t2;t3;t0-t1;t1-t2;t2-t3;t0-t3
Pve_D_2;Pve;D;2;0.1;27.04.2021;31.05.2021;30.06.2021;29.07.2021;34; 30 ;29;93
Pve_D_3;Pve;D;3;1;27.04.2021;31.05.2021;30.06.2021;29.07.2021;34; 30 ;29;93
Pve_D_4;Pve;D;4;10;27.04.2021;31.05.2021;30.06.2021;29.07.2021;34; 30 ;29;93
Pve_D_5;Pve;D;5;100;27.04.2021;31.05.2021;30.06.2021;29.07.2021;34; 30 ;29;93
Pve_D_6;Pve;D;6;0;27.04.2021;01.06.2021;30.06.2021;28.07.2021;35; 29 ;28;92
Pve_D_7;Pve;D;7;0.1;27.04.2021;01.06.2021;30.06.2021;28.07.2021;35; 29 ;28;92
Pve_D_8;Pve;D;8;1;27.04.2021;01.06.2021;30.06.2021;28.07.2021;35; 29 ;28;92
Pve_D_9;Pve;D;9;10;27.04.2021;01.06.2021;30.06.2021;28.07.2021;35; 29 ;28;92
Pve_D_10;Pve;D;10;100;27.04.2021;01.06.2021;30.06.2021;28.07.2021;35; 29 ;28;92
Pve_D_11;Pve;D;11;0;27.04.2021;31.05.2021;29.06.2021;28.07.2021;34; 29 ;29;92
Pve_D_12;Pve;D;12;0.1;27.04.2021;31.05.2021;29.06.2021;28.07.2021;34; 29 ;29;92
Pve_D_13;Pve;D;13;1;27.04.2021;31.05.2021;29.06.2021;28.07.2021;34; 29 ;29;92
Pve_D_14;Pve;D;14;10;27.04.2021;31.05.2021;29.06.2021;28.07.2021;34; 29 ;29;92
Pve_D_15;Pve;D;15;100;27.04.2021;31.05.2021;29.06.2021;28.07.2021;34; 29 ;29;92
Pve_E_1;Pve;E;1;0;27.04.2021;31.05.2021;30.06.2021;29.07.2021;34; 30 ;29;93
Pve_E_2;Pve;E;2;0.1;27.04.2021;31.05.2021;30.06.2021;29.07.2021;34; 30 ;29;93
Pve_E_3;Pve;E;3;1;27.04.2021;31.05.2021;30.06.2021;29.07.2021;34; 30 ;29;93
Pve_E_4;Pve;E;4;10;27.04.2021;31.05.2021;30.06.2021;29.07.2021;34; 30 ;29;93
Pve_E_5;Pve;E;5;100;27.04.2021;31.05.2021;30.06.2021;29.07.2021;34; 30 ;29;93
Pve_E_6;Pve;E;6;0;27.04.2021;01.06.2021;30.06.2021;29.07.2021;35; 29 ;29;93
Pve_E_7;Pve;E;7;0.1;27.04.2021;01.06.2021;30.06.2021;29.07.2021;35; 29 ;29;93
Pve_E_8;Pve;E;8;1;27.04.2021;01.06.2021;30.06.2021;29.07.2021;35; 29 ;29;93
Pve_E_9;Pve;E;9;10;27.04.2021;01.06.2021;30.06.2021;29.07.2021;35; 29 ;29;93
Pve_E_10;Pve;E;10;100;27.04.2021;01.06.2021;30.06.2021;29.07.2021;35; 29 ;29;93
Pve_E_11;Pve;E;11;0;27.04.2021;31.05.2021;29.06.2021;29.07.2021;34; 29 ;30;93
Pve_E_12;Pve;E;12;0.1;27.04.2021;31.05.2021;29.06.2021;29.07.2021;34; 29 ;30;93
Pve_E_13;Pve;E;13;1;27.04.2021;31.05.2021;29.06.2021;29.07.2021;34; 29 ;30;93
Pve_E_14;Pve;E;14;10;27.04.2021;31.05.2021;29.06.2021;29.07.2021;34; 29 ;30;93
Pve_E_15;Pve;E;15;100;27.04.2021;31.05.2021;29.06.2021;29.07.2021;34; 29 ;30;93
Pve_F_1;Pve;F;1;0;28.04.2021;01.06.2021;30.06.2021;29.07.2021;34; 29 ;29;92
Pve_F_2;Pve;F;2;0.1;28.04.2021;01.06.2021;30.06.2021;29.07.2021;34; 29 ;29;92
Pve_F_3;Pve;F;3;1;28.04.2021;01.06.2021;30.06.2021;30.07.2021;34; 29 ;30;93
Pve_F_4;Pve;F;4;10;28.04.2021;01.06.2021;30.06.2021;30.07.2021;34; 29 ;30;93
Pve_F_5;Pve;F;5;100;28.04.2021;01.06.2021;30.06.2021;30.07.2021;34; 29 ;30;93
Pve_F_6;Pve;F;6;0;28.04.2021;01.06.2021;30.06.2021;30.07.2021;34; 29 ;30;93
Pve_F_7;Pve;F;7;0.1;28.04.2021;01.06.2021;30.06.2021;30.07.2021;34; 29 ;30;93
Pve_F_8;Pve;F;8;1;28.04.2021;01.06.2021;30.06.2021;30.07.2021;34; 29 ;30;93
Pve_F_9;Pve;F;9;10;28.04.2021;01.06.2021;30.06.2021;30.07.2021;34; 29 ;30;93
Pve_F_10;Pve;F;10;100;28.04.2021;01.06.2021;30.06.2021;30.07.2021;34; 29 ;30;93
Pve_F_11;Pve;F;11;0;28.04.2021;01.06.2021;30.06.2021;30.07.2021;34; 29 ;30;93
Pve_F_12;Pve;F;12;0.1;28.04.2021;01.06.2021;30.06.2021;30.07.2021;34; 29 ;30;93
Pve_F_13;Pve;F;13;1;28.04.2021;01.06.2021;30.06.2021;30.07.2021;34; 29 ;30;93
Pve_F_14;Pve;F;14;10;28.04.2021;01.06.2021;30.06.2021;30.07.2021;34; 29 ;30;93
Pve_F_15;Pve;F;15;100;28.04.2021;01.06.2021;30.06.2021;30.07.2021;34; 29 ;30;93
