Polymer;Form;Count;Length;Width
PET;Fibers;69;743,05;19,4
PET;Fibers;70;1180,52;10,68
PET;Fibers;71;5272,08;15,82
PET;Fibers;72;898,73;12,58
PET;Fibers;73;1917,92;15,84
PET;Fibers;74;1810,38;9,03
PET;Fibers;75;905,58;15,22
PET;Fibers;76;2748,79;12,03
PET;Fibers;77;995,76;15,32
PET;Fibers;78;779,41;18,05
PET;Fibers;79;1142,81;13,75
PET;Fibers;80;740,78;15,41
PET;Fibers;81;639,04;16,37
PET;Fibers;82;1349,12;19,44
PET;Fibers;83;1027,79;7,64
PET;Fibers;84;534,84;19,44
PET;Fibers;85;1133,18;10,12
PET;Fibers;86;1140,05;12,14
PET;Fibers;87;629,4;16,14
PET;Fibers;88;378,55;10,87
PET;Fibers;89;739,39;18,14
PET;Fibers;90;906,5;15,22
PET;Fibers;91;1157,69;14,54
PET;Fibers;92;645,67;19,19
PET;Fibers;93;1661,89;10,76
PET;Fibers;94;1628,5;11,18
PET;Fibers;95;2404,68;11,18
PET;Fibers;96;334,71;14,04
PET;Fibers;97;513,27;13,16
PET;Fibers;98;732,2;17,13
PET;Fibers;99;822,22;8,89
PET;Fibers;100;1054,56;10,23
PE;Fragments;1;286,18;205,14
PE;Fragments;2;155,27;94,43
PE;Fragments;3;361,59;296,47
PE;Fragments;4;329,16;205,83
PE;Fragments;5;138,21;94,43
PE;Fragments;6;346,55;174,35
PE;Fragments;7;388,84;161,58
PE;Fragments;8;299,17;198,78
PE;Fragments;9;383,09;255,16
PE;Fragments;10;208,54;128,15
PE;Fragments;11;246,66;157,11
PE;Fragments;12;224,36;143,35
PE;Fragments;13;172,75;95,54
PE;Fragments;14;342,37;183,46
PE;Fragments;15;329,45;142,12
PE;Fragments;16;244,6;161,27
PE;Fragments;17;121,28;99,83
PE;Fragments;18;271,58;202,29
PE;Fragments;19;318,58;184,4
PE;Fragments;20;167,82;109,63
PE;Fragments;21;149,18;88,14
PE;Fragments;22;239,46;118,05
PE;Fragments;23;277,34;147,08
PE;Fragments;24;402,4;196,96
PE;Fragments;25;294,51;163,52
PE;Fragments;26;777,44;176,77
PE;Fragments;27;237,3;169,92
PE;Fragments;28;177,17;130,95
PE;Fragments;29;269,73;159,29
PE;Fragments;30;125,93;111,62
PE;Fragments;31;366,9;282,88
PE;Fragments;32;319,55;156,81
PE;Fragments;33;356,49;242,82
PE;Fragments;34;304,78;65,78
PE;Fragments;35;395,2;225,8
PE;Fragments;36;407,77;188,76
PE;Fragments;37;190,12;152,59
PE;Fragments;38;321,79;171,32
PE;Fragments;39;395,63;178,11
PE;Fragments;40;213,76;127,12
PE;Fragments;41;299,19;213,17
PE;Fragments;42;220,57;172,59
PE;Fragments;43;309,29;317,06
PE;Fragments;44;279,76;146
PE;Fragments;45;336,97;213,76
PE;Fragments;46;305,71;103,88
PE;Fragments;47;163,6;128,97
PE;Fragments;48;139,2;123,54
PE;Fragments;49;201,86;154,09
PE;Fragments;50;119,8;127,95
PE;Fragments;51;361,78;258,1
PE;Fragments;52;425,19;151,72
PE;Fragments;53;384,59;166,95
PE;Fragments;54;233,15;149,31
PE;Fragments;55;119,85;59,12
PE;Fragments;56;148,95;130,95
